Food,Unit,ServingsPerUnit,Type,Notes,Weight per serving (g),Kcal_per_serv,Prot_per_serv (g),Carb_per_serv (g),Fat_per_serv (g),Source
芋頭糕,份,1.0,全穀雜糧類,≈60g,60.0,70.0,2.0,15.0,0.0,食物代換表 2019
山藥,份,1.0,全穀雜糧類,1 塊=1份，≈80g,80.0,70.0,2.0,15.0,0.0,食物代換表 2019
蘿蔔糕 6x8x1.5 公分,份,1.0,全穀雜糧類,1 塊=1份，≈50g,50.0,70.0,2.0,15.0,0.0,食物代換表 2019
芋頭(滾刀塊 3-4塊),個,5.0,全穀雜糧類,1/5 個(中)=1份，≈55g,55.0,70.0,2.0,15.0,0.0,食物代換表 2019
豬血糕,份,1.0,全穀雜糧類,≈35g,35.0,70.0,2.0,15.0,0.0,食物代換表 2019
荸薺,粒,0.125,全穀雜糧類,8 粒=1份，≈100g,100.0,70.0,2.0,15.0,0.0,食物代換表 2019
蓮藕,g,0.01,全穀雜糧類,100g=1份,100.0,70.0,2.0,15.0,0.0,食物代換表 2019
大麥、小麥、蕎麥,份,1.0,全穀雜糧類,≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
玉米或玉米粒,根,1.5,全穀雜糧類,2/3 根=1份，≈85g,85.0,70.0,2.0,15.0,0.0,食物代換表 2019
麥粉,湯匙,0.25,全穀雜糧類,4 湯匙=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
爆米花(不加奶油),杯,1.0,全穀雜糧類,1 杯=1份，≈15g,15.0,70.0,2.0,15.0,0.0,食物代換表 2019
麥片,湯匙,0.333,全穀雜糧類,3 湯匙=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
薏仁,湯匙,0.667,全穀雜糧類,1 1/2 湯匙=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
麵粉,湯匙,0.333,全穀雜糧類,3 湯匙=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
蓮子(乾),粒,0.025,全穀雜糧類,40 粒=1份，≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
麵條(乾),份,1.0,全穀雜糧類,≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
栗子(乾),粒,0.333,全穀雜糧類,3 粒 (大)=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
麵條(濕),份,1.0,全穀雜糧類,≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
菱角,粒,0.125,全穀雜糧類,8 粒=1份，≈60g,60.0,70.0,2.0,15.0,0.0,食物代換表 2019
南瓜,g,0.012,全穀雜糧類,85g=1份,85.0,70.0,2.0,15.0,0.0,食物代換表 2019
拉麵,g,0.04,全穀雜糧類,≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
豌豆仁,g,0.014,全穀雜糧類,70g=1份,70.0,70.0,2.0,15.0,0.0,食物代換表 2019
油麵,碗,2.0,全穀雜糧類,1/2 碗=1份，≈45g,45.0,70.0,2.0,15.0,0.0,食物代換表 2019
皇帝豆,g,0.015,全穀雜糧類,65g=1份,65.0,70.0,2.0,15.0,0.0,食物代換表 2019
鍋燒麵(熟),份,1.0,全穀雜糧類,≈60g,60.0,70.0,2.0,15.0,0.0,食物代換表 2019
通心粉(乾),杯,3.0,全穀雜糧類,1/3 杯=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
